timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.12 11:15:39:869,4.41,left,0.43556098106543,0.24,1.8148374211059584,2,255,275
2021.4.12 11:15:39:931,4.4719999999999995,right,0.7098986117798171,0.324,2.191045098085855,2,253,281
2021.4.12 11:15:40:121,4.662,right,0.2013556291411146,0.17900000000000005,1.1248917829112544,2,283,298
2021.4.12 11:15:40:723,5.264,left,0.7697411361457444,0.435,1.7695198532086078,2,314,352
2021.4.12 11:15:41:293,5.834,right,1.147744095781864,0.704,1.6303183178719662,4,341,403
2021.4.12 11:15:41:349,5.89,left,0.7356467243676018,0.376,1.9565072456585155,4,375,408
2021.4.12 11:15:41:631,6.172,left,0.13721349351738352,0.125,1.0977079481390681,4,423,433
2021.4.12 11:15:41:745,6.286,left,0.1143879310982592,0.104,1.099883952867877,2,435,443
2021.4.12 11:15:42:101,6.642,right,1.0565373567395606,0.685,1.5423903018095775,2,415,474
2021.4.12 11:15:42:861,7.402,right,0.1589292222699218,0.137,1.160067315838845,1,531,542
2021.4.12 11:15:43:474,8.015,left,2.1309228655504717,0.985,2.1633734675639307,4,510,597
2021.4.12 11:15:43:542,8.083,right,0.8690375281091298,0.494,1.7591852795731373,4,560,603
2021.4.12 11:15:44:433,8.974,right,1.0810567062778544,0.49,2.206238176077254,2,640,683
2021.4.12 11:15:44:589,9.13,right,0.17861041012060827,0.145,1.2317959318662641,2,685,697
2021.4.12 11:15:44:812,9.353,left,1.2367385555255297,0.612,2.02081463321165,2,663,717
2021.4.12 11:15:45:51,9.592,left,0.2154977647648455,0.19099999999999995,1.1282605485070447,2,721,738
2021.4.12 11:15:45:487,10.028,right,0.6948453298176546,0.351,1.9796163242668223,1,747,777
2021.4.12 11:15:45:706,10.247,left,0.6793314599518685,0.335,2.027855104333936,1,768,797
2021.4.12 11:15:46:291,10.832,right,1.098777405200791,0.618,1.777956966344322,4,795,847
2021.4.12 11:15:46:901,11.442,right,1.2347104846092372,0.603,2.047612743962251,4,849,879
2021.4.12 11:15:47:12,11.553,left,2.3101736378071145,1.2389999999999999,1.8645469231695841,4,804,889
2021.4.12 11:15:48:194,12.735,right,1.3425298290613101,0.7130000000000001,1.882931036551627,1,932,994
2021.4.12 11:15:48:477,13.018,right,0.5858066314434456,0.274,2.1379804067279036,1,996,1020
2021.4.12 11:15:49:89,13.63,right,1.0080648060803508,0.602,1.6745262559474265,2,1022,1075
2021.4.12 11:15:49:595,14.136,right,0.8272572999592797,0.493,1.6780066936293705,1,1077,1120
2021.4.12 11:15:50:230,14.771,right,1.0320146587558805,0.554,1.862842344324694,2,1128,1177
2021.4.12 11:15:50:723,15.264,right,0.9026925368703944,0.483,1.8689286477647917,1,1179,1221
2021.4.12 11:15:51:336,15.877,right,0.9738538900873402,0.504,1.9322497819193258,2,1231,1276
2021.4.12 11:15:51:766,16.307,right,0.8413463489382035,0.335,2.5114816386215026,2,1285,1314
2021.4.12 11:15:51:876,16.417,right,0.10071067811865472,0.1,1.007106781186547,2,1316,1324
2021.4.12 11:15:52:106,16.647,right,0.1765685424949237,0.18999999999999995,0.9293081183943356,2,1329,1345
2021.4.12 11:15:52:344,16.885,left,0.9721684716796424,0.5509999999999999,1.7643710919775726,2,1318,1366
2021.4.12 11:15:52:944,17.485,left,0.8063058864091552,0.402,2.0057360358436696,1,1385,1420
2021.4.12 11:15:53:496,18.037,left,0.8167706437970336,0.452,1.8070146986660034,2,1430,1469
2021.4.12 11:15:54:50,18.591,left,0.9481587779392546,0.504,1.88126741654614,1,1475,1519
2021.4.12 11:15:55:200,19.741,left,1.9052054270785004,1.095,1.7399136320351603,1,1525,1622
2021.4.12 11:15:55:725,20.266,left,0.8634625175240016,0.481,1.7951403690727685,2,1627,1669
