,event,trial,side,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_mean
0,1,1,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
1,1,1,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
2,1,2,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
3,1,2,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
4,1,3,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
5,1,3,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
6,2,1,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,False
7,2,1,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,False
8,2,2,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
9,2,2,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
10,2,3,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
11,2,3,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
12,3,1,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,False
13,3,1,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,False
14,3,2,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
15,3,2,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
16,3,3,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
17,3,3,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
18,5,1,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,False
19,5,1,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,False
20,5,2,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
21,5,2,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
22,5,3,left,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
23,5,3,right,0,2,2,4,1,0,0,0,0,1,0,0,1,True,False,True
24,1,1,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
25,1,1,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
26,1,2,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
27,1,2,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
28,1,3,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
29,1,3,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
30,2,1,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
31,2,1,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
32,2,2,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
33,2,2,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
34,2,3,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
35,2,3,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
36,3,1,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
37,3,1,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
38,3,2,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
39,3,2,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
40,3,3,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
41,3,3,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
42,5,1,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
43,5,1,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
44,5,2,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
45,5,2,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
46,5,3,left,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
47,5,3,right,0,1,3,4,1,0,0,0,0,1,0,1,0,True,True,True
48,1,1,left,0,0,2,2,1,0,0,1,0,1,0,1,0,True,True,True
49,1,1,right,0,0,2,2,1,0,0,1,0,1,0,1,0,True,True,True
50,1,2,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
51,1,2,right,0,0,2,2,1,0,0,1,0,1,0,1,0,True,True,True
52,1,3,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
53,1,3,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
54,2,1,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
55,2,1,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
56,2,2,left,0,0,2,2,1,0,0,1,0,1,0,1,0,True,True,True
57,2,2,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
58,2,3,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
59,2,3,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
60,3,1,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
61,3,1,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
62,3,2,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
63,3,2,right,0,0,2,2,1,0,0,1,0,1,0,1,0,True,True,True
64,3,3,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
65,3,3,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
66,5,1,left,0,0,2,2,1,0,0,1,0,1,0,1,0,True,True,True
67,5,1,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
68,5,2,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
69,5,2,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
70,5,3,left,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
71,5,3,right,0,0,2,2,1,0,0,1,0,1,0,1,0,False,True,True
72,1,1,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
73,1,1,right,0,1,2,1,1,0,0,0,1,1,1,0,0,False,True,True
74,1,2,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,True,True
75,1,2,right,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
76,1,3,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
77,1,3,right,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
78,2,1,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
79,2,1,right,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
80,2,2,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
81,2,2,right,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
82,2,3,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
83,2,3,right,0,1,2,1,1,0,0,0,1,1,1,0,0,True,False,True
84,3,1,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
85,3,1,right,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
86,3,2,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,True
87,3,2,right,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
88,3,3,left,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
89,3,3,right,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
90,5,1,left,0,1,2,1,1,0,0,0,1,1,1,0,0,False,False,False
91,5,1,right,0,1,2,1,1,0,0,0,1,1,1,0,0,False,True,False
92,5,2,left,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
93,5,2,right,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
94,5,3,left,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
95,5,3,right,0,1,2,1,1,0,0,0,1,1,1,0,0,True,True,True
96,1,1,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
97,1,1,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
98,1,2,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
99,1,2,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
100,1,3,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
101,1,3,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
102,2,1,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
103,2,1,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
104,2,2,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
105,2,2,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
106,2,3,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
107,2,3,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
108,3,1,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
109,3,1,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
110,3,2,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
111,3,2,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
112,3,3,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
113,3,3,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
114,5,1,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
115,5,1,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
116,5,2,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
117,5,2,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
118,5,3,left,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
119,5,3,right,1,1,1,0,1,1,0,0,1,1,1,1,1,True,True,True
120,1,1,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
121,1,1,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
122,1,2,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
123,1,2,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
124,1,3,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
125,1,3,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
126,2,1,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
127,2,1,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
128,2,2,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
129,2,2,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
130,2,3,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
131,2,3,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
132,3,1,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
133,3,1,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
134,3,2,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
135,3,2,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
136,3,3,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
137,3,3,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
138,5,1,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
139,5,1,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
140,5,2,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
141,5,2,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
142,5,3,left,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
143,5,3,right,1,1,1,3,1,1,1,0,1,1,1,1,1,True,True,True
144,1,1,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
145,1,1,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
146,1,2,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
147,1,2,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
148,1,3,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
149,1,3,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,True,True
150,2,1,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,False
151,2,1,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,False
152,2,2,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
153,2,2,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
154,2,3,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
155,2,3,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
156,3,1,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,False
157,3,1,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,False
158,3,2,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,True,False
159,3,2,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,True,False
160,3,3,left,1,2,1,1,1,1,0,1,1,0,1,1,0,True,False,True
161,3,3,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
162,5,1,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
163,5,1,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,True,True
164,5,2,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
165,5,2,right,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
166,5,3,left,1,2,1,1,1,1,0,1,1,0,1,1,0,False,False,True
167,5,3,right,1,2,1,1,1,1,0,1,1,0,1,1,0,True,True,True
168,1,1,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
169,1,1,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
170,1,2,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
171,1,2,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
172,1,3,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,True
173,1,3,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,True
174,2,1,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
175,2,1,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
176,2,2,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
177,2,2,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
178,2,3,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
179,2,3,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
180,3,1,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
181,3,1,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
182,3,2,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
183,3,2,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
184,3,3,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
185,3,3,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
186,5,1,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
187,5,1,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
188,5,2,left,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
189,5,2,right,1,1,2,2,1,0,0,1,1,1,1,1,0,False,False,False
190,5,3,left,1,1,2,2,1,0,0,1,1,1,1,1,0,True,False,False
191,5,3,right,1,1,2,2,1,0,0,1,1,1,1,1,0,True,False,False
192,1,1,left,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
193,1,1,right,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
194,1,2,left,1,2,0,2,1,0,1,0,0,1,0,1,0,True,False,False
195,1,2,right,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,False
196,1,3,left,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
197,1,3,right,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
198,2,1,left,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
199,2,1,right,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
200,2,2,left,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,False
201,2,2,right,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,False
202,2,3,left,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
203,2,3,right,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
204,3,1,left,1,2,0,2,1,0,1,0,0,1,0,1,0,False,False,True
205,3,1,right,1,2,0,2,1,0,1,0,0,1,0,1,0,True,False,True
206,3,2,left,1,2,0,2,1,0,1,0,0,1,0,1,0,True,True,False
